k1 = 2, k2 = 5, k3 = 7, a11 = -1, a12 = 0, a13 = 2, a21 = 2, a22 = 0, a23 = 0, a31 = -1, a32 = -1, a33 = 0, b12 = -2, b13 = -48, b23 = 0
k1 = 2, k2 = 5, k3 = 7, a11 = -1, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = 0, b12 = -2, b13 = -48, b23 = 0
k1 = 2, k2 = 5, k3 = 7, a11 = -1, a12 = 0, a13 = 2, a21 = 0, a22 = 0, a23 = 2, a31 = -1, a32 = -1, a33 = 0, b12 = -2, b13 = -48, b23 = 0
k1 = 2, k2 = 5, k3 = 7, a11 = -1, a12 = 0, a13 = 2, a21 = -2, a22 = 0, a23 = 0, a31 = -1, a32 = -1, a33 = 0, b12 = -2, b13 = -48, b23 = 0
k1 = 2, k2 = 5, k3 = 7, a11 = -1, a12 = 0, a13 = 2, a21 = 0, a22 = 2, a23 = 0, a31 = -1, a32 = -1, a33 = 0, b12 = -2, b13 = -48, b23 = 0
k1 = 2, k2 = 5, k3 = 7, a11 = -1, a12 = 0, a13 = 2, a21 = 0, a22 = 0, a23 = -2, a31 = -1, a32 = -1, a33 = 0, b12 = -2, b13 = -48, b23 = 0
k1 = 2, k2 = 4, k3 = 6, a11 = -1, a12 = 0, a13 = 2, a21 = 2, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = 0, b12 = -2, b13 = -48, b23 = 0
k1 = 2, k2 = 4, k3 = 6, a11 = -1, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -3, a32 = -1, a33 = 0, b12 = -2, b13 = -48, b23 = 0
k1 = 2, k2 = 4, k3 = 7, a11 = -1, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -2, a32 = -1, a33 = 0, b12 = -2, b13 = -96, b23 = 0
k1 = 2, k2 = 4, k3 = 8, a11 = 0, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = -1, b12 = -2, b13 = -192, b23 = 0
k1 = 2, k2 = 4, k3 = 8, a11 = -1, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -2, b13 = -192, b23 = 0
